"Pregunta","Respuesta"
"¿Cuándo acabó la II Guerra Mundial?","En 1945."
"¿Cuál era el apellido de la reina Isabel II de Inglaterra?","Windsor."
"¿En qué año se aprobó la actual Constitución española?","En 1978."
"¿Qué día es la fiesta de la Hispanidad?","El 12 de octubre."
"¿Cuál fue el primer presidente democrático de España tras la dictadura franquista?","Adolfo Suárez."
"¿En qué año murió Freddie Mercury?","En 1991."
"¿Qué día es la fiesta nacional de Estados Unidos?","El 4 de julio."
"¿Quién inventó la bombilla?","Thomas Edison."
"¿En qué país se usó la primera bomba atómica?","En Japón (Hiroshima)."
"¿Cuándo empezó la Primera Guerra Mundial?","En 1914."
"¿En qué año se produjo la Revolución Francesa?","En 1789."
"¿Cuántas veces ha estado el hombre en la Luna?","Seis."
"¿Qué presidente de Estados Unidos fue asesinado en Dallas?","John F. Kennedy."
"¿En qué año viajó al espacio el primer ser humano?","En 1961 (Yuri Gagarin)."
"¿En qué año llegó Cristóbal Colón a América?","En 1492."
"¿Cuándo saltó Felix Baumgartner?","En 2012."
"¿En qué año cayó el muro de Berlín?","En 1989."
"¿Cuándo se inventó la imprenta?","En 1440."
"¿Hace cuánto se extinguieron los dinosaurios?","Hace 66 millones de años."
"¿Cuál era el nombre de pila de Che Guevara?","Ernesto."
"Según la Biblia, ¿cuántos años vivió Matusalén?","969 años."
"¿En qué país nació Adolf Hitler?","Austria."
"¿Qué reina británica fue hija de los Reyes Católicos?","Catalina de Aragón."
"¿Cuánto duró “La Guerra de los Cien Años”?","116 años."
"¿Quién fue el último faraón de Egipto?","Ramsés III."
"¿Cuál fue la primera civilización humana?","La civilización sumeria."
"¿Cuándo empezó la Revolución Rusa?","En 1917."
"¿Cuál fue el genocidio más grande de la historia?","El Holocausto."
"¿Quién creó el Partido Comunista?","Lenin."
"¿Qué famoso líder de Cuba estuvo 49 años en el poder?","Fidel Castro."
"¿Cuándo se fundó la OTAN?","En 1949."
"¿En qué año fue asesinado Abraham Lincoln?","En 1865."
"¿En qué año se hundió el Titanic?","En 1912."
"¿Con cuántos años murió la Reina Isabel II?","Con 96 años."
"¿Cómo se llamaba en realidad El Cid Campeador?","Rodrigo Díaz de Vivar."
"¿En qué año fue el golpe de Estado de Tejero?","En 1981."
"¿Cuál fue el primer metal que el hombre empleó?","El cobre."
"¿Qué personaje fue conocido como el rey de Macedonia?","Alejandro Magno."
"¿Alrededor de qué mar vivieron los egipcios, los fenicios, los israelitas, los griegos y los romanos?","El mar Mediterráneo."
"Según la leyenda, ¿quiénes fundaron a Roma?","Rómulo y Remo."
"¿En qué año ocurrió el intento de golpe de Estado en España?","En 1981."
"¿En qué año se coronó a Isabel II?","1953."
"¿En qué año abdicó el rey Juan Carlos I?","En 2014."
"¿En qué continente surgió la Humanidad?","En África."
"¿En qué año cayó el Imperio Romano?","En el año 476."
"¿En qué etapa desaparecieron los dinosaurios?","Al final del Cretácico."
"¿Quién descubrió Perú?","Francisco Pizarro."
"¿Dónde nació Adolf Hitler?","En Austria."
"¿Quién fue el primer emperador romano?","César Augusto."
"¿En qué año murió Napoleón?","En 1821."
"¿Cuál fue la última dinastía en China?","La dinastía Qing."
"¿En qué año fue asesinado John F. Kennedy?","En 1963."
"¿En qué país se originó la civilización azteca?","En México."
"¿Dónde nació Juana de Arco?","En Francia."
"¿Qué países fueron los miembros de los Aliados en la Segunda Guerra Mundial?","Gran Bretaña, Francia, Rusia, China y Estados Unidos."
"Después de Lenin, ¿quién fue oficialmente el líder de la Unión Soviética?","Stalin."
"¿Quién fue la mujer más poderosa de la historia bizantina?","La emperatriz Teodora."
"¿Cuáles fueron los cuatro grandes inventos de China?","El papel, la brújula, la pólvora y la imprenta."
"¿Qué país de Asia es miembro del Eje en la Segunda Guerra Mundial?","Japón."
"¿Quién fundó el socialismo científico?","Karl Marx."
"¿Cómo se llaman los pobladores más antiguos de España y Europa?","Homo antecessor."
"Tras la latinización de las lenguas, ¿cuál fue la otra que sobrevivió hasta nuestros días?","Euskera."
"¿En la conquista musulmana, ¿en qué año el Califato de Damasco tomó Toledo?","En el 711."
"¿Qué monarca convocó una Curia Regia extraordinaria que condujo al nacimiento de las Cortes?","Alfonso IX de León."
"¿Cómo se llamaba el emir musulmán que entregó las llaves de Granada a los Reyes Católicos?","Boabdil."
"¿A qué rey se le atribuye ""el imperio en el que nunca se pone el sol""?","Carlos I."
"¿Qué rey envió a la Armada Invencible contra Inglaterra y perdió?","Felipe II."
"¿Quién fue la primera mujer de Carlos II ""el Hechizado""?","Maria Luisa de Orleans."
"¿Bajo el reinado de quién se creó la Guardia Civil?","Isabel II."
"¿Quién fue el segundo presidente de la II República?","Manuel Azaña."
"¿Qué día encabezó Franco el alzamiento militar que inició la guerra civil?","17 de julio."
"¿En qué año se celebraron las primeras elecciones bajo la nueva constitución?","1979."
"¿Cuántos presidentes ha tenido la democracia española en total hasta Pedro Sánchez?","7."
"¿Con qué nombre se conoce el escándalo que obligó al presidente estadounidense Richard Nixon a dimitir?","Watergate."
"¿Qué emperador romano legalizó el cristianismo?","Constantino."
"¿Qué hito informático de 1969 cambiaría radicalmente el curso de la historia de la humanidad?","Internet."
"¿Quién fue el primer Presidente de Estados Unidos?","George Washington."
"¿Cuál es el nombre de la famosa batalla donde Napoleón Bonaparte fue derrotado?","Waterloo."
"¿Qué facción dirigió Mao Zedong durante la guerra civil China?","Comunistas."
